"","convergence","time","mu","x_C","C","A","p","tau ctr","tau enz","tau r","v ctr","v enz","v r","p ctr","p enz","p r","q ctr","q enz","q r","dq ctr","dq enz","dq r"
"1845",0,1.844,1.25770123078966,10,0.170016487468004,0.17094900628311,0.659034506248886,0.144285714285714,0.199697898069411,0.284234119398166,427.618418468484,374.133170130975,308.40384569796,61.6992289504527,74.7136076732011,87.6588955009675,1,0.829983512531996,0.659034506248886,0,0.0565203916091939,0.0782016247636852
"1846",0,1.845,1.25787799984994,10,0.16996059440819,0.170926560227334,0.659112845364476,0.144285714285714,0.19971659065955,0.284249558342224,427.678519948981,373.993664819829,308.523705485429,61.7079007354958,74.6927396660866,87.6977270223394,1,0.83003940559181,0.659112845364476,0,0.0558930598146823,0.0783391155899649
"1847",0,1.846,1.25807309470539,10,0.169905343894913,0.17090335560536,0.659191300499728,0.144285714285714,0.199735080446885,0.284265523309923,427.744852199832,373.853890501809,308.640431389222,61.71747153169,74.6717368947598,87.7358337434576,1,0.830094656105087,0.659191300499728,0,0.0552505132772607,0.0784551352516205
"1848",0,1.847,1.25828619006016,10,0.169850750629971,0.170879398986361,0.659269850383668,0.144285714285714,0.199753362098892,0.284282010206647,427.817304620456,373.713924378254,308.754010948372,61.7279253809515,74.6506128577273,87.7732108917682,1,0.830149249370029,0.659269850383668,0,0.0545932649413938,0.0785498839402932
"1849",0,1.848,1.25851756259795,10,0.169796829493624,0.170854697128394,0.659348473377983,0.144285714285714,0.199771430214796,0.284299014816762,427.895971283302,373.573778364491,308.864373497388,61.7392758565908,74.6293679946195,87.8098370973039,1,0.830203170506376,0.659348473377983,0,0.0539211363476122,0.0786229943151584
"1850",0,1.849,1.25876742312156,10,0.169743595457343,0.170829257011574,0.659427147531082,0.144285714285714,0.199789279355023,0.284316532780201,427.980923861329,373.433475393262,308.971451873416,61.7515332999918,74.6080049358617,87.8456919247145,1,0.830256404542657,0.659427147531082,0,0.0532340362803252,0.0786741530994783
"1851",0,1.85,1.25903513003695,10,0.169691062701161,0.170803085848783,0.659505851450056,0.144285714285714,0.19980690433773,0.284334559584478,428.071944212563,373.293098188499,309.07528450069,61.764666236384,74.5865383596842,87.8807848969507,1,0.830308937298839,0.659505851450056,0,0.052532756182111,0.0787039189732441
"1852",0,1.851,1.25932042337901,10,0.169639245003239,0.17077619108997,0.65958456390679,0.144285714285714,0.199824300109192,0.284353090561072,428.168943948865,373.152704856895,309.175861462717,61.7786619126219,74.5649780818811,87.9151117338057,1,0.830360754996761,0.65958456390679,0,0.0518176979216189,0.0787124567346309
"1853",0,1.852,1.25962424421711,10,0.169588157001262,0.170748580376688,0.65966326262205,0.144285714285714,0.199841461320764,0.284372120916114,428.272243033816,373.01226331538,309.27302831859,61.7935664948791,74.5433157915112,87.9486270051069,1,0.830411842998738,0.65966326262205,0,0.0510880019778392,0.0786987152601171
"1854",0,1.853,1.25994596736069,10,0.169537812591179,0.170720261526626,0.659741925882194,0.144285714285714,0.199858382866779,0.284391645740411,428.381628902636,372.871844012193,309.366829313716,61.8093493130946,74.5215637608308,87.9813417260207,1,0.830462187408821,0.659741925882194,0,0.0503444100822259,0.0786632601439408
"1855",0,1.854,1.26028504369123,10,0.169488224958733,0.17069124261269,0.659820532428576,0.144285714285714,0.199875059875103,0.284411659954284,428.496914855019,372.731528387589,309.457288273532,61.8259834290813,74.4997365538081,88.0132610428266,1,0.830511775041267,0.659820532428576,0,0.0495876324460021,0.0786065463820318
"1856",0,1.855,1.26064192564787,10,0.169439407652777,0.170661531888635,0.659899060458588,0.144285714285714,0.199891487346957,0.284432158358147,428.618254720276,372.591315556446,309.544313789263,61.8434910382113,74.4778322391372,88.0443572785715,1,0.830560592347223,0.659899060458588,0,0.0488173059562946,0.0785280300116264
"1857",0,1.856,1.26101666403982,10,0.1693913741604,0.170631137809228,0.659977488030373,0.144285714285714,0.199907660300065,0.284453135617936,428.745665773538,372.451235691185,309.627861907954,61.8618746330391,74.4558551028929,88.0746161943947,1,0.8306086258396,0.659977488030373,0,0.048033492377475,0.0784275717847782
"1858",0,1.857,1.26140877233921,10,0.169344137337878,0.170600069058078,0.660055793604044,0.144285714285714,0.199923573960908,0.2844745862452,428.878982595331,372.311360922764,309.707952265404,61.8811103458978,74.4338179019284,88.104041577549,1,0.830655862662122,0.660055793604044,0,0.0472368225217235,0.078305573671611
"1859",0,1.858,1.26181816802338,10,0.169297709842117,0.170568334520067,0.660133955637816,0.144285714285714,0.19993922362026,0.284496504615409,429.018177127949,372.171730818251,309.784557790358,61.9011941284612,74.4117269132095,88.1326238751868,1,0.830702290157883,0.660133955637816,0,0.0464274957608923,0.0781620337716449
"1860",0,1.859,1.26224499036824,10,0.16925210436969,0.170535943262478,0.660211952367832,0.144285714285714,0.199954604553159,0.284518884980273,429.163296725201,372.032366261498,309.8576262211,61.9221328132076,74.3895846767939,88.1603463150616,1,0.83074789563031,0.660211952367832,0,0.0456054724272681,0.0779967300162943
"1861",0,1.86,1.26268911232576,10,0.169207333398723,0.1705029045079,0.660289762093377,0.144285714285714,0.199969712106411,0.284541721485777,429.314298190759,371.893300732737,309.927142500979,61.9439201675238,74.3673962818281,88.1872026623964,1,0.830792666601277,0.660289762093377,0,0.0447709709670008,0.0778097255450527
"1862",0,1.861,1.26315010879608,10,0.16916340881525,0.170469227748178,0.660367363436573,0.144285714285714,0.199984541825396,0.284565008092696,429.471036990666,371.754610766769,309.993113056276,61.9665353372246,74.3451755056708,88.2131927255393,1,0.83083659118475,0.660367363436573,0,0.0439245834731317,0.0776013431952327
"1863",0,1.862,1.26362801945692,10,0.169120342453072,0.170434922638783,0.660444734908145,0.144285714285714,0.199999089272607,0.284588738648838,429.633526615352,371.616320605095,310.055500927625,61.9899802687865,74.3229256798563,88.2383039201264,1,0.830879657546928,0.660444734908145,0,0.0430663621772132,0.0773714715720519
"1864",0,1.863,1.26412305847158,10,0.169078146263448,0.170399999015245,0.660521854721307,0.144285714285714,0.200013349970751,0.284612906876962,429.801839880339,371.478446005169,310.114244915565,62.0142654684489,74.3006484274224,88.2625167093731,1,0.830921853736552,0.660521854721307,0,0.0421961896247547,0.0771198131622741
"1865",0,1.864,1.2646347490534,10,0.169036831603392,0.170364466894577,0.660598701502032,0.144285714285714,0.200027319643777,0.284637506373066,429.975814678157,371.341049717828,310.169370300038,62.0393675464198,74.2783548487639,88.285836115507,1,0.830963168396608,0.660598701502032,0,0.0413146600557468,0.0768467807246154
